metric,ci_95_low,ci_95_high
Average Precision,0.9595764905354126,0.981384324166074
ROC-AUC,0.9896937609211807,0.9957278277635775
Recall,0.945563415059261,0.9852994610307031
Precision,0.7403208481225481,0.8125947820803321
