Card_Category,n,churn_count,churn_rate,ci_low,ci_high,small_n
Blue,5664,910,0.1606638418079096,0.15133071360198375,0.1704569665618373,False
Gold,74,15,0.20270270270270271,0.1268696381027667,0.30787990455822695,False
Platinum,11,3,0.2727272727272727,0.09745880573921467,0.5656502930102463,True
Silver,327,48,0.14678899082568808,0.11253566537714274,0.18924500549375137,False
