Months_Inactive_12_mon,n,churn_count,churn_rate,ci_low,ci_high,small_n
0,14,8,0.5714285714285714,0.3259026690286936,0.7861949006959948,True
1,1332,57,0.04279279279279279,0.03317484566997705,0.05504040380271493,False
2,1994,317,0.15897693079237712,0.14358509970209954,0.17568025146487987,False
3,2308,496,0.21490467937608318,0.19862764814858647,0.2321291995523979,False
4,252,73,0.2896825396825397,0.23716589511466937,0.34851524509083287,False
5,106,14,0.1320754716981132,0.08033131841647077,0.20955520909223263,False
6,70,11,0.15714285714285714,0.09007528275988681,0.2598846314348218,False
