transaction_count,shap_contribution
61,-0.12203655169850772
58,-0.024919213891584156
76,-0.1592566668691337
69,-0.1415676730513594
67,-0.12047189040628026
73,-0.11370756342111281
77,-0.17741736809135325
42,0.16308503183747525
41,0.11158469136063907
56,0.0063909772410638815
56,0.018519742333027063
81,-0.23080691099439582
40,0.16102775038929343
57,0.00394752106558528
88,-0.22537985867601223
33,0.06240013879000471
60,-0.1214672094528628
60,-0.05289708615037966
86,-0.16935572276549554
51,0.05190428705696505
64,-0.08779959551516633
31,0.0589525782553415
69,-0.18261622367210079
87,-0.16631146744936065
112,-0.29593253776671957
106,-0.2534807250371705
90,-0.18964500153140604
93,-0.25426279094775034
81,-0.22809283488404247
111,-0.26836519490466637
114,-0.29108709981202185
75,-0.12166027860297639
102,-0.2672240720114418
65,-0.1499610670276838
70,-0.1402377398199876
78,-0.18995100323919878
64,-0.19450341001089727
84,-0.14090981213393014
78,-0.1508131999100329
65,-0.16870881779808558
109,-0.2651108196968313
69,-0.12340568156076397
44,0.15107549208622234
58,-0.030663858544216164
66,-0.11862344399198933
106,-0.27294669992427983
81,-0.24900310638460915
88,-0.23936193938485342
78,-0.20517041620679663
49,0.07080591762652477
79,-0.163672886654181
41,0.09571350122920859
57,-0.003106328930424288
112,-0.3085148253828669
37,0.08391326695233882
84,-0.19011399540366866
81,-0.2463785187336709
77,-0.16718283247867685
59,-0.06466210799114087
84,-0.22026572978336015
42,0.1567903287767446
64,-0.018892966431817336
71,-0.1431654423920979
39,0.07159744463067186
81,-0.15920302788935103
92,-0.26312905672567827
30,0.05638442524739429
26,0.05423510337147154
37,0.14907882837933342
34,0.06881071955897834
54,0.042773662358236944
99,-0.2586943607661073
68,-0.1635020200060572
63,-0.03531019072602666
68,-0.12812758731400797
44,0.08392495632975175
80,-0.1350395264939513
44,0.16705964103098037
35,0.1544675550602333
35,0.07049405699371722
43,0.09485751614230174
120,-0.23270390349820902
29,0.09934392407624809
92,-0.21383964639490882
48,0.10483668963346005
128,-0.21810181367732825
74,-0.19232215590603147
69,-0.18194724253477154
107,-0.26992931438164286
79,-0.1724699235877979
49,0.16871238053234583
65,-0.19295124316543386
56,-0.0032966482322891667
80,-0.2238399210074805
44,0.07028999184562035
82,-0.21415589106629415
36,0.15863297854563152
46,0.1690436977589757
78,-0.178832025393559
72,-0.24396302826038518
115,-0.2227886117120649
70,-0.1864752805987937
43,0.10052749261167444
58,-0.04104464881841659
65,-0.12937715870939231
63,-0.12818365466805887
63,-0.1840653455367302
116,-0.1771930239887054
35,0.16607564250877627
85,-0.23622810587625664
77,-0.24747436386979
71,-0.18174067276366185
62,-0.13697528262784556
73,-0.18202924684018854
82,-0.1923499888141898
84,-0.2089887076408239
46,0.13674393993653852
71,-0.12959890505151797
93,-0.2223256059028468
53,0.06419494404772395
56,0.003816126046705203
96,-0.20198164343673933
32,0.06389647148397254
72,-0.13783333663566444
73,-0.20967550744756855
28,0.06131060034377291
15,0.16873551955006172
44,0.1423068924344505
71,-0.11318599910615096
68,-0.16115943097242014
79,-0.23330879648649192
76,-0.1482659446464442
32,0.05497466681570024
75,-0.1908453404436371
84,-0.20381100211347317
81,-0.1389403183013903
57,-0.0058460799772022
33,0.13964233916379098
52,0.13122289768812728
48,0.14464288427675934
113,-0.31038538977221625
42,0.14200160974391873
66,-0.1624361504001457
64,-0.12662683209243494
49,0.13780367481515263
21,0.09640502450043666
35,0.13860762893039014
22,0.1152061422988553
62,-0.08889527311215727
51,0.12107546547319283
73,-0.14975744299289365
33,0.07168018200408532
27,0.053898579734669556
100,-0.2488356393114803
116,-0.3582693793128557
90,-0.13716305519911623
41,0.16306336406635413
70,-0.1835628915447714
53,0.13232460728921336
75,-0.13526758019442858
64,-0.12401657938415696
50,0.09808367078782111
87,-0.1705474788427582
36,0.07178446822198578
66,-0.1553808015024766
116,-0.2497184521544305
60,-0.11067654122950962
70,-0.19102871953693049
92,-0.1969731173208336
39,0.146704600602657
100,-0.16788262820098435
67,-0.14995883848593994
57,-0.06613414109998016
47,0.1421831653113808
86,-0.14642930094199016
73,-0.20514701957720838
27,0.07896199271439361
88,-0.21972558672985612
81,-0.14753386886228995
75,-0.20612973502644233
76,-0.2137273598438004
79,-0.11020630431506981
102,-0.188807049662213
68,-0.0928794217150112
46,0.08340484315102678
40,0.14818069214092988
100,-0.23567941614538276
58,0.02304872281159374
64,-0.16158677504359384
56,0.04309551434676949
28,0.09821215012453839
71,-0.11253332484717275
71,-0.05767272620550463
63,-0.09969227297038878
39,0.05141301483864508
78,-0.20335622677134826
56,0.024378816039117825
76,-0.13103976153466435
45,0.08676066852485305
32,0.11667474974104057
