,Total_Trans_Amt,Total_Trans_Amt,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,Total_Amt_Chng_Q4_Q1,Total_Amt_Chng_Q4_Q1,Total_Amt_Chng_Q4_Q1,Avg_Utilization_Ratio,Avg_Utilization_Ratio,Avg_Utilization_Ratio,Total_Revolving_Bal,Total_Revolving_Bal,Total_Revolving_Bal,Credit_Limit,Credit_Limit,Credit_Limit,Contacts_Count_12_mon,Contacts_Count_12_mon,Contacts_Count_12_mon,Months_on_book,Months_on_book,Months_on_book,Customer_Age,Customer_Age,Customer_Age
,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count
Churn,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4098.0,4586.366078431372,5100,0.722,0.7428878431372549,5100,0.743,0.7717809803921569,5100,0.2135,0.29980235294117646,5100,1375.0,1262.5319607843137,5100,4644.0,8674.990019607843,5100,2.0,2.35,5100,36.0,36.029411764705884,5100,46.0,46.34882352941177,5100
1,2312.5,3077.9631147540986,976,0.533,0.5586065573770492,976,0.703,0.699329918032787,976,0.0,0.16292213114754098,976,0.0,673.9743852459017,976,4145.5,8164.8442622950815,976,3.0,2.949795081967213,976,36.0,35.90676229508197,976,46.0,46.533811475409834,976
