Contacts_Count_12_mon,n,churn_count,churn_rate,ci_low,ci_high,small_n
0,245,4,0.0163265306122449,0.0063668117678340325,0.0412200868857673,False
1,903,61,0.06755260243632337,0.05294698386668236,0.08582212421128849,False
2,1930,254,0.1316062176165803,0.1172527409510501,0.147423331794515,False
3,2043,400,0.19579050416054822,0.17916124689490026,0.21356166825398076,False
4,827,199,0.24062877871825877,0.2127364764939169,0.27091961390887476,False
5,104,34,0.3269230769230769,0.24433849092767745,0.42183856875986425,False
6,24,24,1.0,0.8620194241710247,1.0,True
