field,group,n,churn_n,flagged_n,churn_prevalence,average_predicted_risk,Brier_score,recall,precision,status
Gender,F,1039,183,212,0.17613089509143406,0.19120438814043558,0.017153215474621113,0.9836065573770492,0.8490566037735849,descriptive comparison eligible
Gender,M,987,143,194,0.14488348530901723,0.1756703247202171,0.03193612877243544,0.9440559440559441,0.6958762886597938,descriptive comparison eligible
Card_Category,Blue,1878,306,380,0.16293929712460065,0.18468259987099023,0.024948128414856923,0.9640522875816994,0.7763157894736842,descriptive comparison eligible
Card_Category,Gold,20,1,2,0.05,0.09237413247233181,0.019907531404406438,,,small group or insufficient outcome/flag counts; P/R suppressed
Card_Category,Platinum,4,0,0,0.0,0.017672018540294283,0.0008612177855788534,,,small group or insufficient outcome/flag counts; P/R suppressed
Card_Category,Silver,124,19,24,0.1532258064516129,0.18786997173741474,0.016846526727365953,,,small group or insufficient outcome/flag counts; P/R suppressed
Income_Category,$120K +,160,29,37,0.18125,0.20418571185279655,0.021538349539459746,0.9655172413793104,0.7567567567567568,descriptive comparison eligible
Income_Category,$40K - $60K,360,65,80,0.18055555555555555,0.21066186183456037,0.029358179395006682,0.9692307692307692,0.7875,descriptive comparison eligible
Income_Category,$60K - $80K,282,27,50,0.09574468085106383,0.13751976140136749,0.03913623299316609,0.9629629629629629,0.52,descriptive comparison eligible
Income_Category,$80K - $120K,323,54,61,0.16718266253869968,0.18525089672807327,0.025121404888008333,0.9259259259259259,0.819672131147541,descriptive comparison eligible
Income_Category,Less than $40K,674,116,135,0.17210682492581603,0.18330021161783389,0.02026080530188057,0.9741379310344828,0.837037037037037,descriptive comparison eligible
Income_Category,Unknown,227,35,43,0.15418502202643172,0.18228647855112057,0.011108613267145953,1.0,0.813953488372093,descriptive comparison eligible
Education_Level,College,204,27,34,0.1323529411764706,0.15607978013394305,0.020255081327998865,0.9629629629629629,0.7647058823529411,descriptive comparison eligible
Education_Level,Doctorate,98,20,26,0.20408163265306123,0.2382952136141011,0.030664407708270933,,,small group or insufficient outcome/flag counts; P/R suppressed
Education_Level,Graduate,674,105,129,0.15578635014836795,0.1743359606588356,0.024240534284804917,0.9523809523809523,0.7751937984496124,descriptive comparison eligible
Education_Level,High School,392,71,93,0.18112244897959184,0.21564667967553316,0.028887637142060836,1.0,0.7634408602150538,descriptive comparison eligible
Education_Level,Post-Graduate,100,19,22,0.19,0.19610713726752013,0.037266382515482796,,,small group or insufficient outcome/flag counts; P/R suppressed
Education_Level,Uneducated,291,38,49,0.13058419243986255,0.15589762968749082,0.014624008703267006,1.0,0.7755102040816326,descriptive comparison eligible
Education_Level,Unknown,267,46,53,0.17228464419475656,0.18667379705087842,0.02457566583654483,0.9347826086956522,0.8113207547169812,descriptive comparison eligible
