Model,CV_ap,CV_roc_auc,CV_recall,CV_f1,CV_ap_std,Train_ap,Validation_AP,Validation_ROC_AUC,Validation_Brier_Score,Selected_primary
LightGBM benchmark,0.9638391213578242,0.9918362009456921,0.9190624508415919,0.8944202453899793,0.0027159461655904857,0.999277940358377,0.9675953229523568,0.9931837104072399,0.026383797625393574,True
XGBoost benchmark,0.9530156336418995,0.9890037975737723,0.84424414031776,0.8850333794248878,0.0017397429075482348,0.9847195646085792,0.9545485334642697,0.9904597285067872,0.02677447721362114,False
Random Forest tuned,0.9425760403949496,,,,0.0017070946644011477,0.9998090138597694,0.9437334479131624,0.9874045248868779,0.035339527797544096,False
Random Forest baseline,0.9314566671555408,0.9851376694519242,0.8565738555922605,0.8654296214988518,0.005122090172097008,0.9963717283908977,0.9364307888730762,0.9857828054298643,0.04091788021732084,False
Logistic Regression,0.7700882454949435,0.9340711582414939,0.8575932043416706,0.6677135149142038,0.00881664088818165,0.7758857473273563,0.8039740978594224,0.9376886877828055,0.09902446873940536,False
Decision Tree,0.7561273630471371,0.9463016406184938,0.909819097058361,0.7278477645950541,0.015126891715662059,0.8374461394735508,0.781677209259694,0.9542090497737556,0.08251679999268827,False
Majority baseline,0.1606319492685622,0.5,0.0,0.0,0.00019533415849384952,0.16063198336436768,0.16049382716049382,0.5,0.16049382716049382,False
